iter	Passed	Remaining
460	772	902
461	773	900
462	774	897
463	776	896
464	777	894
465	778	891
466	778	888
467	779	886
468	780	883
469	781	881
470	782	878
471	783	876
472	784	873
473	785	871
474	786	868
475	786	866
476	787	863
477	788	861
478	789	858
479	790	856
480	791	854
481	792	851
482	793	849
483	794	847
484	795	844
485	796	842
486	797	839
487	798	837
488	798	834
489	799	832
490	800	829
491	801	827
492	802	824
493	802	822
494	803	820
495	804	817
496	805	815
497	806	813
498	807	810
499	808	808
500	809	806
501	810	803
502	811	801
503	812	799
504	813	797
505	814	794
506	814	792
507	815	790
508	816	787
509	817	785
510	818	783
511	819	781
512	820	779
513	821	776
514	822	774
515	823	772
516	824	770
517	825	767
518	826	765
519	827	763
520	828	761
521	828	759
522	829	756
523	830	754
524	831	752
525	832	750
526	833	748
527	834	746
528	835	744
529	836	742
530	837	739
531	838	737
532	839	735
533	840	733
534	841	731
535	842	729
536	843	727
537	844	724
538	844	722
539	845	720
540	846	718
541	847	716
542	848	714
543	850	712
544	850	710
545	851	708
546	852	706
547	853	704
548	854	702
549	855	699
550	856	697
551	857	695
552	858	693
553	859	691
554	859	689
555	860	687
556	861	685
557	862	683
558	864	681
559	865	679
560	865	677
561	866	675
562	867	673
563	868	671
564	869	669
565	870	667
566	871	665
567	872	663
568	873	661
569	874	659
570	875	657
571	876	655
572	876	653
573	877	651
574	879	649
575	879	647
576	880	645
577	881	643
578	882	641
579	883	639
580	884	637
581	885	635
582	886	633
583	887	631
584	888	630
585	889	628
586	889	626
587	890	624
588	891	622
589	892	620
590	894	618
591	895	616
592	896	614
593	896	613
594	897	611
595	898	609
596	899	607
597	900	605
598	901	603
599	902	601
600	903	599
601	903	597
602	904	595
603	905	593
604	906	591
605	907	590
606	908	588
607	909	586
608	910	584
609	911	582
610	912	580
611	913	579
612	914	577
613	915	575
614	916	573
615	917	571
616	917	569
617	918	567
618	919	566
619	920	564
620	921	562
621	922	560
622	923	559
623	924	557
624	925	555
625	926	553
626	927	551
627	928	550
628	929	548
629	930	546
630	931	544
631	932	542
632	933	541
633	934	539
634	935	537
635	935	535
636	936	533
637	938	532
638	939	530
639	940	528
640	941	527
641	941	525
642	942	523
643	943	521
644	944	519
645	945	518
646	946	516
647	947	514
648	948	512
649	949	511
650	950	509
651	951	507
652	952	506
653	953	504
654	954	502
655	955	501
656	956	499
657	957	497
658	958	496
659	959	494
660	960	492
661	961	490
662	962	489
663	963	487
664	964	485
665	964	483
666	965	482
667	967	480
668	968	479
669	969	477
670	970	475
671	971	474
672	972	472
673	972	470
674	973	468
675	974	467
676	975	465
677	976	463
678	977	462
679	978	460
680	979	458
681	980	457
682	981	455
683	983	454
684	984	452
685	984	450
686	985	449
687	986	447
688	987	445
689	988	444
690	989	442
691	990	440
692	991	439
693	992	437
694	993	435
695	993	434
696	994	432
697	995	430
698	996	429
699	997	427
700	998	425
701	999	424
702	1000	422
703	1001	420
704	1002	419
705	1003	417
706	1004	416
707	1005	414
708	1005	412
709	1006	411
710	1007	409
711	1008	407
712	1009	406
713	1010	404
714	1011	403
715	1012	401
716	1013	399
717	1014	398
718	1015	396
719	1015	395
720	1016	393
721	1018	392
722	1018	390
723	1019	388
724	1020	387
725	1021	385
726	1022	383
727	1023	382
728	1024	380
729	1026	379
730	1027	378
731	1028	376
732	1029	375
733	1030	373
734	1031	371
735	1032	370
736	1033	368
737	1034	367
738	1035	365
739	1036	364
740	1037	362
741	1038	360
742	1038	359
743	1040	357
744	1041	356
745	1042	354
746	1043	353
747	1043	351
748	1045	350
749	1046	348
750	1048	347
751	1049	345
752	1049	344
753	1050	342
754	1051	341
755	1052	339
756	1053	338
757	1055	336
758	1056	335
759	1057	334
760	1058	332
761	1059	331
762	1063	330
763	1064	328
764	1065	327
765	1066	325
766	1067	324
767	1068	322
768	1069	321
769	1070	319
770	1072	318
771	1073	317
772	1074	315
773	1075	314
774	1076	312
775	1078	311
776	1079	309
777	1079	308
778	1080	306
779	1081	305
780	1082	303
781	1083	302
782	1085	300
783	1087	299
784	1088	298
785	1089	296
786	1090	295
787	1091	293
788	1093	292
789	1094	290
790	1095	289
791	1096	287
792	1097	286
793	1098	284
794	1099	283
795	1101	282
796	1103	281
797	1104	279
798	1105	278
